"filename", "language", "YAML", "Dart", "Markdown", "C++", "XML", "JSON", "Swift", "Properties", "Gradle", "comment", "blank", "total"
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\shuttle_bus\bus_finder.dart", "Dart", 0, 225, 0, 0, 0, 0, 0, 0, 0, 10, 18, 253
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\shuttle_bus\maximoff_s_internal.dart", "Dart", 0, 226, 0, 0, 0, 0, 0, 0, 0, 8, 14, 248
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\shuttle_bus\s_external.dart", "Dart", 0, 4264, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4269
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\shuttle_bus\s_internal.dart", "Dart", 0, 2891, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2896
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\shuttle_bus\s_weekend.dart", "Dart", 0, 1116, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1121
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\shuttle_bus\shuttle_bus.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 2, 3, 66
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\ucs\case_viewer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\ucs\create_case_data.dart", "Dart", 0, 146, 0, 0, 0, 0, 0, 0, 0, 2, 7, 155
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\ucs\knowledge_hub.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\ucs\my_support.dart", "Dart", 0, 642, 0, 0, 0, 0, 0, 0, 0, 0, 5, 647
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\ucs\ucs.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 5, 57
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\uevent\uevent.dart", "Dart", 0, 114, 0, 0, 0, 0, 0, 0, 0, 1, 7, 122
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\uevent\uevent_help_page.dart", "Dart", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 3, 86
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\uevent\uevent_my_ticket.dart", "Dart", 0, 279, 0, 0, 0, 0, 0, 0, 0, 1, 3, 283
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\uevent\uevent_product_page.dart", "Dart", 0, 307, 0, 0, 0, 0, 0, 0, 0, 0, 3, 310
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\uschedule\nox_uschedule_exam.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\uschedule\uschedule.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 2, 3, 44
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\uschedule\uschedule_course.dart", "Dart", 0, 107, 0, 0, 0, 0, 0, 0, 0, 19, 19, 145
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\uschedule\uschedule_exam.dart", "Dart", 0, 320, 0, 0, 0, 0, 0, 0, 0, 2, 3, 325
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\usummon\appeal.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\usummon\summon.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\usummon\usummon.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\usummon\usummon_viewer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\news_and_notification\more_notification.dart", "Dart", 0, 648, 0, 0, 0, 0, 0, 0, 0, 0, 2, 650
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\qr_services\qr_page.dart", "Dart", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 11, 160
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\settings\about_app.dart", "Dart", 0, 297, 0, 0, 0, 0, 0, 0, 0, 7, 2, 306
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\settings\contact_us.dart", "Dart", 0, 1023, 0, 0, 0, 0, 0, 0, 0, 7, 4, 1034
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\settings\dev_page\material_test_page.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\settings\dev_page\material_theme_col.dart", "Dart", 0, 492, 0, 0, 0, 0, 0, 0, 0, 33, 5, 530
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\settings\dev_page\material_widget_lib.dart", "Dart", 0, 218, 0, 0, 0, 0, 0, 0, 0, 5, 5, 228
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\settings\disclaimer.dart", "Dart", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 4, 103
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\settings\profile.dart", "Dart", 0, 560, 0, 0, 0, 0, 0, 0, 0, 11, 10, 581
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\settings\security_policy.dart", "Dart", 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 4, 211
"c:\Users\haqim\Project\Flutter\utpinme\lib\src\navbar.dart", "Dart", 0, 199, 0, 0, 0, 0, 0, 0, 0, 6, 11, 216
"c:\Users\haqim\Project\Flutter\utpinme\lib\src\token.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\haqim\Project\Flutter\utpinme\lib\src\utp_ui.dart", "Dart", 0, 67, 0, 0, 0, 0, 0, 0, 0, 3, 3, 73
"c:\Users\haqim\Project\Flutter\utpinme\pubspec.yaml", "YAML", 77, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 102
"Total", "-", 80, 27079, 481, 1, 138, 193, 12, 8, 88, 329, 586, 28995
